-w	-m	-s	-d	-o	-p	-r	-n	-t	txs-tpcc	time-tpcc	total-sum-time	total-commit-time	total-abort-upd-tx-time	total-abort-ro-tx-time	total-wait-time	total-sus-time	total-flush-time	total-dur-commit-time	total-ro-dur-wait-time	total-upd-tx-time	total-ro-tx-time	total-commits	nontx-commits	htm-commits	rot-commits	gl-commits	stm-commits	total-aborts	confl-aborts	confl-self	confl-trans	confl-non-trans	user-aborts	capac-aborts	persis-aborts	other-aborts	rot-confl-aborts	rot-self-aborts	rot-trans-aborts	rot-non-trans-aborts	rot-other-confl-aborts	rot-user-aborts	rot-capac-aborts	rot-persis-aborts	rot-other-aborts
64	64	0	0	95	5	0	10	5	4401322.0	5.02	20305638242.0	0.0	2047270641.0	0.0	149548867.0	71196057.0	94886180.0	561267984.0	16272712308.0	140804722.0	5611283594.0	4401322.0	4181767.0	0.0	219555.0	0.0	0.0	1089.0	685.0	0.0	1.0	684.0	403.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	64	0	0	95	5	0	24	5	8856866.0	5.021	20244854905.0	0.0	2341202754.0	0.0	540123697.0	146111888.0	244367229.0	1995828851.0	44138564450.0	298721059.0	10212134523.0	8856866.0	8413537.0	0.0	443319.0	10.0	0.0	1388.0	758.0	0.0	26.0	732.0	621.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	64	0	0	95	5	0	20	5	7130662.0	5.031	22382769770.0	0.0	2345843701.0	0.0	376896997.0	117885625.0	182566215.0	1184106540.0	37344638901.0	240772442.0	8227821545.0	7130662.0	6774281.0	0.0	356380.0	1.0	0.0	1595.0	1052.0	0.0	19.0	1033.0	539.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	64	0	0	95	5	0	14	5	6522977.0	5.04	20316651519.0	0.0	2006967909.0	0.0	252974653.0	105696611.0	140585896.0	1001200498.0	23573164441.0	214800794.0	7389883482.0	6522977.0	6198179.0	0.0	324796.0	2.0	0.0	3556.0	3114.0	0.0	20.0	3094.0	440.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	64	0	0	95	5	0	4	5	2532444.0	5.01	20380479571.0	0.0	1689844948.0	0.0	41935299.0	40212707.0	64826207.0	204682065.0	3833240549.0	85452555.0	3840923732.0	2532444.0	2406381.0	0.0	126063.0	0.0	0.0	294.0	18.0	0.0	4.0	14.0	276.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	64	0	0	95	5	0	1	5	1759221.0	5.0	19806490993.0	0.0	53644845.0	0.0	1097730.0	28133598.0	61879267.0	94284606.0	18750246.0	57785538.0	2013129867.0	1759221.0	1671377.0	0.0	87844.0	0.0	0.0	50.0	1.0	0.0	0.0	1.0	48.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	64	0	0	95	5	0	2	5	1388972.0	5.0	20282380140.0	0.0	1540517345.0	0.0	7872419.0	22642079.0	38592022.0	82215666.0	847874375.0	49006146.0	2253981449.0	1388972.0	1319435.0	0.0	69537.0	0.0	0.0	218.0	0.0	0.0	0.0	0.0	218.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	64	0	0	95	5	0	28	5	7238724.0	5.045	20151863391.0	0.0	3470775421.0	0.0	478191422.0	119405297.0	217758047.0	1967610372.0	53957260457.0	243148513.0	8947172645.0	7238724.0	6879092.0	0.0	359612.0	20.0	0.0	4749.0	4192.0	0.0	38.0	4154.0	552.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	64	0	0	95	5	0	6	5	2925826.0	5.019	20465732312.0	0.0	1878309699.0	0.0	70301423.0	46740467.0	99563941.0	286807295.0	8252682467.0	96509366.0	4166851515.0	2925826.0	2779632.0	0.0	146194.0	0.0	0.0	350.0	29.0	0.0	0.0	29.0	321.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	64	0	0	95	5	0	32	5	11804855.0	5.016	20165461489.0	0.0	2507366737.0	0.0	840026813.0	198517305.0	260026253.0	2691449507.0	59141717811.0	391020512.0	13588523136.0	11804855.0	11214489.0	0.0	590340.0	26.0	0.0	3772.0	2976.0	0.0	75.0	2901.0	788.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
